챕터,스테이지,명중 요구치,집중 요구치
1,1-1,100,100
1,1-2,100,100
1,1-3,100,100
1,1-4,100,100
1,1-5,101,101
1,1-6,101,101
1,1-7,101,101
1,1-8,101,101
1,1-9,101,101
1,1-10,101,101
1,1-11,101.6,101.6
1,1-12,101.9,101.9
1,1-13,102,102
1,1-14,102,102
1,1-15,102,102
1,1-16,102,102
1,1-17,102,102
1,1-18,102,102
1,1-19,105.3,102.2
1,1-20,111.3,102.5
1,1-21,119.7,102.9
1,1-22,121.4,103
1,1-23,122,103
1,1-24,122,103
1,1-25,122,103
1,1-26,122,103
1,1-27,122,103
1,1-28,122,103
1,1-29,122.3,103.3
1,1-30,122.7,103.7
2,2-1,123,104
2,2-2,123,104
2,2-3,123,104
2,2-4,123,104
2,2-5,123,104
2,2-6,123,104
2,2-7,123.3,104.3
2,2-8,123.7,104.7
2,2-9,124,105
2,2-10,124,105
2,2-11,124,105
2,2-12,124,105
2,2-13,124,105
2,2-14,124,105
2,2-15,124,105
2,2-16,124.2,105.2
2,2-17,124.6,105.6
2,2-18,124.9,105.9
2,2-19,125,106
2,2-20,125,106
2,2-21,125,106
2,2-22,125,106
2,2-23,125,106
2,2-24,125,106
2,2-25,125,106
2,2-26,125.3,106.3
2,2-27,125.7,106.7
2,2-28,126,107
2,2-29,126,107
2,2-30,126,107
3,3-1,126,107
3,3-2,126,107
3,3-3,126.2,107.1
3,3-4,126.8,107.3
3,3-5,127.6,107.7
3,3-6,127.9,108
3,3-7,128,108
3,3-8,128,108
3,3-9,128,108
3,3-10,128,108
3,3-11,128,108
3,3-12,128,108
3,3-13,128.1,108.1
3,3-14,128.7,108.7
3,3-15,129,109
3,3-16,129,109
3,3-17,129,109
3,3-18,129,109
3,3-19,129,109
3,3-20,129,109
3,3-21,129,109
3,3-22,129.1,109.2
3,3-23,129.4,109.4
3,3-24,129.9,109.9
3,3-25,130,110
3,3-26,130,110
3,3-27,130,110
3,3-28,130,110
3,3-29,130,110
3,3-30,130.1,110.1
4,4-1,130.4,110.4
4,4-2,130.8,110.8
4,4-3,131,111
4,4-4,131,111
4,4-5,131,111
