챕터,스테이지,55% 적정투력,75% 적정투력,100% 적정투력,120% 적정투력
1,1-1,960,1K 280,1K 600,1K 920
1,1-2,1K 170,1K 560,1K 950,2K 340
1,1-3,1K 220,1K 627,2K 33,2K 440
1,1-4,1K 300,1K 733,2K 166,2K 600
1,1-5,1K 770,2K 360,2K 950,3K 540
1,1-6,1K 838,2K 451,3K 63,3K 676
1,1-7,1K 996,2K 661,3K 326,3K 992
1,1-8,2K 154,2K 872,3K 589,4K 307
1,1-9,2K 312,3K 82,3K 852,4K 623
1,1-10,2K 469,3K 292,4K 115,4K 938
1,1-11,2K 587,3K 449,4K 311,5K 174
1,1-12,2K 705,3K 606,4K 507,5K 409
1,1-13,2K 816,3K 754,4K 692,5K 631
1,1-14,2K 908,3K 877,4K 846,5K 816
1,1-15,2K 945,3K 927,4K 908,5K 890
1,1-16,2K 967,3K 956,4K 945,5K 934
1,1-17,2K 981,3K 975,4K 968,5K 962
1,1-18,2K 995,3K 993,4K 991,5K 990
1,1-19,3K 92,4K 123,5K 153,6K 184
1,1-20,3K 264,4K 352,5K 439,6K 527
1,1-21,3K 506,4K 674,5K 842,7K 11
1,1-22,3K 604,4K 805,6K 6,7K 208
1,1-23,3K 806,5K 74,6K 342,7K 611
1,1-24,4K 196,5K 594,6K 992,8K 391
1,1-25,4K 920,6K 560,8K 199,9K 839
1,1-26,5K 349,7K 132,8K 914,10K 697
1,1-27,5K 691,7K 588,9K 484,11K 381
1,1-28,5K 940,7K 920,9K 900,11K 880
1,1-29,5K 997,7K 996,9K 994,11K 993
1,1-30,6K 155,8K 207,10K 258,12K 310
2,2-1,6K 410,8K 547,10K 683,12K 820
2,2-2,6K 741,8K 988,11K 235,13K 482
2,2-3,6K 770,9K 26,11K 282,13K 539
2,2-4,6K 796,9K 61,11K 326,13K 592
2,2-5,6K 815,9K 86,11K 357,13K 629
2,2-6,6K 818,9K 90,11K 362,13K 635
2,2-7,6K 818,9K 90,11K 362,13K 635
2,2-8,6K 824,9K 99,11K 373,13K 648
2,2-9,6K 845,9K 126,11K 407,13K 689
